Day,Pageviews
4/30/14,1157
5/1/14,1118
5/2/14,1310
5/3/14,874
5/4/14,890
5/5/14,1437
5/6/14,1263
5/7/14,1187
5/8/14,1506
5/9/14,1448
5/10/14,1054
5/11/14,663
5/12/14,988
5/13/14,1241
5/14/14,1207
5/15/14,1288
5/16/14,1045
5/17/14,842
5/18/14,687
5/19/14,1136
5/20/14,1348
5/21/14,1241
5/22/14,1164
5/23/14,1029
5/24/14,909
5/25/14,650
5/26/14,1275
5/27/14,1203
5/28/14,1233
5/29/14,1014
5/30/14,1040
5/31/14,825
6/1/14,593
6/2/14,875
6/3/14,1096
6/4/14,1059
6/5/14,1105
6/6/14,949
6/7/14,652
6/8/14,546
6/9/14,762
6/10/14,1082
6/11/14,1305
6/12/14,1232
6/13/14,1089
6/14/14,735
6/15/14,775
6/16/14,1381
6/17/14,1320
6/18/14,1398
6/19/14,991
6/20/14,1052
6/21/14,669
6/22/14,422
6/23/14,779
6/24/14,1150
6/25/14,1001
6/26/14,1582
6/27/14,847
6/28/14,721
6/29/14,541
6/30/14,710
7/1/14,1649
7/2/14,919
7/3/14,1008
7/4/14,1000
7/5/14,465
7/6/14,448
7/7/14,721
7/8/14,1030
7/9/14,915
7/10/14,870
7/11/14,795
7/12/14,667
7/13/14,487
7/14/14,741
7/15/14,1030
7/16/14,1287
7/17/14,1061
7/18/14,971
7/19/14,549
7/20/14,509
7/21/14,1046
7/22/14,1514
7/23/14,1655
7/24/14,1489
7/25/14,1352
7/26/14,828
7/27/14,591
7/28/14,820
7/29/14,1409
7/30/14,1819
7/31/14,1243
8/1/14,1157
8/2/14,626
8/3/14,437
8/4/14,842
8/5/14,1118
8/6/14,985
8/7/14,983
8/8/14,871
8/9/14,591
8/10/14,533
8/11/14,937
8/12/14,1312
8/13/14,1412
8/14/14,1183
8/15/14,955
8/16/14,629
8/17/14,561
8/18/14,833
8/19/14,1067
8/20/14,987
8/21/14,976
8/22/14,1218
8/23/14,853
8/24/14,432
8/25/14,869
8/26/14,1152
8/27/14,944
8/28/14,947
8/29/14,847
8/30/14,626
8/31/14,558
9/1/14,2300
9/2/14,2469
9/3/14,1411
9/4/14,1178
9/5/14,1111
9/6/14,641
9/7/14,867
9/8/14,1359
9/9/14,1730
9/10/14,1529
9/11/14,1168
9/12/14,1222
9/13/14,889
9/14/14,648
9/15/14,1023
9/16/14,1453
9/17/14,1260
9/18/14,1190
9/19/14,1207
9/20/14,706
9/21/14,929
9/22/14,1879
9/23/14,1579
9/24/14,1389
9/25/14,1352
9/26/14,1118
9/27/14,944
9/28/14,734
9/29/14,1048
9/30/14,1431
10/1/14,1296
10/2/14,1126
10/3/14,1158
10/4/14,872
10/5/14,756
10/6/14,1221
10/7/14,1620
10/8/14,1528
10/9/14,1486
10/10/14,1639
10/11/14,1114
10/12/14,874
10/13/14,1161
10/14/14,1557
10/15/14,1740
10/16/14,1598
10/17/14,1397
10/18/14,1153
10/19/14,797
10/20/14,1320
10/21/14,1747
10/22/14,1944
10/23/14,1664
10/24/14,1516
10/25/14,1077
10/26/14,777
10/27/14,1139
10/28/14,1671
10/29/14,1590
10/30/14,1491
10/31/14,1438
11/1/14,1060
11/2/14,789
11/3/14,1270
11/4/14,1384
11/5/14,1490
11/6/14,1554
11/7/14,1569
11/8/14,1422
11/9/14,888
11/10/14,1276
11/11/14,1650
11/12/14,1699
11/13/14,1464
11/14/14,1495
11/15/14,1030
11/16/14,812
11/17/14,1231
11/18/14,1465
11/19/14,1707
11/20/14,1678
11/21/14,1632
11/22/14,1678
11/23/14,958
11/24/14,1529
11/25/14,2368
11/26/14,1811
11/27/14,1558
11/28/14,1239
11/29/14,995
11/30/14,1009
12/1/14,1313
12/2/14,1544
12/3/14,2422
12/4/14,1621
12/5/14,1512
12/6/14,1278
12/7/14,955
12/8/14,1384
12/9/14,2569
12/10/14,2140
12/11/14,2235
12/12/14,1719
12/13/14,1143
12/14/14,955
12/15/14,1412
12/16/14,1965
12/17/14,1789
12/18/14,2198
12/19/14,1636
12/20/14,859
12/21/14,743
12/22/14,974
12/23/14,1609
12/24/14,1165
12/25/14,848
12/26/14,1030
12/27/14,1410
12/28/14,879
12/29/14,1259
12/30/14,1254
12/31/14,1026
1/1/15,768
1/2/15,736
1/3/15,863
1/4/15,759
1/5/15,1071
1/6/15,1455
1/7/15,1635
1/8/15,1537
1/9/15,1388
1/10/15,1144
1/11/15,728
1/12/15,1335
1/13/15,1730
1/14/15,1558
1/15/15,1571
1/16/15,1502
1/17/15,1203
1/18/15,807
1/19/15,1138
1/20/15,1648
1/21/15,1661
1/22/15,1743
1/23/15,1544
1/24/15,1439
1/25/15,1269
1/26/15,1262
1/27/15,1892
1/28/15,1687
1/29/15,1778
1/30/15,1485
1/31/15,1428
2/1/15,1010
2/2/15,1293
2/3/15,1941
2/4/15,1714
2/5/15,1676
2/6/15,1591
2/7/15,1077
2/8/15,809
2/9/15,1294
2/10/15,1715
2/11/15,1810
2/12/15,1890
2/13/15,1690
2/14/15,989
2/15/15,783
2/16/15,1271
2/17/15,1501
2/18/15,1613
2/19/15,1632
2/20/15,1486
2/21/15,1338
2/22/15,862
2/23/15,1529
2/24/15,1837
2/25/15,1948
2/26/15,1917
2/27/15,1765
2/28/15,1261
3/1/15,895
3/2/15,1219
3/3/15,1690
3/4/15,1660
3/5/15,1662
3/6/15,1616
3/7/15,1245
3/8/15,931
3/9/15,1259
3/10/15,1666
3/11/15,1782
3/12/15,2083
3/13/15,2287
3/14/15,1247
3/15/15,1120
3/16/15,1668
3/17/15,2006
3/18/15,2359
3/19/15,2649
3/20/15,2006
3/21/15,1364
3/22/15,966
3/23/15,1626
3/24/15,2001
3/25/15,1992
3/26/15,2279
3/27/15,1850
3/28/15,1250
3/29/15,968
3/30/15,1411
3/31/15,1833
4/1/15,1923
4/2/15,1910
4/3/15,1486
4/4/15,1044
4/5/15,927
4/6/15,1030
4/7/15,1965
4/8/15,1768
4/9/15,2082
4/10/15,2063
4/11/15,1424
4/12/15,1073
4/13/15,1664
4/14/15,1799
4/15/15,1947
4/16/15,1839
4/17/15,1885
4/18/15,1237
4/19/15,950
4/20/15,1636
4/21/15,1928
4/22/15,1898
4/23/15,2323
4/24/15,1979
4/25/15,1259
4/26/15,1158
4/27/15,1617
4/28/15,2144
4/29/15,2028
