"NSWMetro","NSWNthCo","NSWSthCo","NSWSthIn","NSWNthIn","QLDMetro","QLDCntrl","QLDNthCo","SAUMetro","SAUCoast","SAUInner","VICMetro","VICWstCo","VICEstCo","VICInner","WAUMetro","WAUCoast","WAUInner","OTHMetro","OTHNoMet"
9047.0953969,8565.6778903,5818.028804,2679.5379629,2977.5066618,12106.0523764,2748.3736889,2137.234012,2881.3717865,2591.9972177,894.8772938,7490.3816491,2442.0048133,3381.9721825,5326.655137,3075.7789409,3066.5550699,694.9953721,3437.9239454,2073.469372
6962.1258898,7124.4683616,2466.4367059,3010.7321547,3477.7027168,7786.6866879,4040.9152564,2269.5956188,2124.7355768,1375.7801276,979.2508843,5198.1780817,960.5047034,1827.9401001,4441.1185744,2154.9288137,3334.4054076,557.679575,2677.0811074,1787.9385191
6871.9630475,4716.8931164,1928.0528335,3328.8690045,3014.7703307,11380.0236162,5343.9643467,4890.2270203,2284.8702356,1079.5415418,980.3288525,5244.2173627,755.9743799,1351.9521199,3815.6453017,2787.2861739,4365.8440909,1006.1844166,3793.7428873,2345.0206343
7147.2926116,6269.2990649,2797.5559735,2417.7722355,3757.972112,9311.4602716,4260.4188782,2621.5481648,1785.8889683,1497.6639509,1509.4342641,6274.2456066,1271.6039696,1493.4147962,3859.5671451,2752.9098415,4521.9957285,1172.5514471,3304.2310816,1943.6887214
7956.9228143,9493.901336,4853.6806796,3224.2854282,3790.7599002,12671.9415292,4186.1132625,2483.2025398,2293.8725881,2247.6839524,963.522662,9187.4215532,2385.058308,2896.9288926,4588.7552092,3519.5643742,3579.3465925,398.1829092,3510.8187276,2165.8378701
6542.2432631,5401.2013894,2759.843103,2428.489038,3395.2839388,9582.96509,4237.8064976,3377.8304692,2197.4181672,1672.8022587,996.8803354,4992.3029263,1328.863781,1547.9014299,4070.4005402,3160.4296819,3408.5328827,596.0181615,2871.8674937,1803.9396812
6330.3640784,5542.6258237,2041.8266248,2893.2734816,3626.1200939,11192.9687486,6414.5993729,5577.9590939,2033.5130797,1104.7027992,1057.6872317,4746.4827339,758.8587432,914.0969917,4114.4887568,2707.7264934,3979.3141922,951.4561603,3833.2309079,1612.6552162
7509.21219,6383.4736317,2650.6772206,2814.5780169,3691.4980271,9871.1082518,3710.4976825,4279.066329,2252.6205439,1503.2421182,770.5422248,4684.5318681,942.279427,1341.6071775,3723.3631147,2294.0648969,3364.6815416,832.4045797,3143.405657,1652.280397
7662.4905024,8337.0080096,5367.951355,2553.0720615,3135.8340131,11709.8513463,3800.1439657,2909.8534748,3199.7961812,2480.801194,1066.6867119,8449.0467642,2227.1103883,2681.8754616,4958.0029594,3606.98809,3728.5020047,548.1368318,4126.2484116,2026.803439
6341.801885,4923.4761714,3460.7945337,2368.2105895,2824.6040466,9357.7765279,4182.8551827,2415.3958177,1967.2847841,1892.4877914,751.6705472,5391.7241444,1013.7119517,1429.5228567,4186.4977467,2812.3064427,3340.7954134,612.6219375,3032.59782,1716.1138922
7827.300649,5134.4912284,1606.1728533,2934.8929747,3390.6751543,11363.5328363,4173.0562468,5428.6818379,1974.4315724,1196.3883209,1607.9280233,4921.8120105,717.5116952,1196.36145,3765.293375,1835.9131918,3755.4498145,656.8117344,4203.9693324,1748.9917105
9579.5622259,6389.8878082,2563.2538883,2561.2722262,2946.215151,9923.9230074,4192.2146611,3730.4053772,2379.0255949,1308.0822567,1025.5240299,5884.1526044,1104.6217627,1806.9715306,3827.2408015,3294.7109566,2906.9490816,1092.5981758,3426.2929257,1883.5133912
8270.4883892,8259.3983426,4913.8456938,2378.1075896,3117.0188359,11281.0723911,3781.164254,2111.3658461,2498.9233949,2386.2271041,974.2663082,8894.2672623,2354.467896,2727.9212213,4610.1996119,2733.9892032,2737.2048847,730.1630741,2919.3465271,1867.3941789
7240.426634,5442.6688179,3143.754048,2881.2883039,2967.4602041,8812.2947344,5061.5893165,2888.6206487,1830.6939182,1564.4546732,1109.9215034,5724.4318264,1071.6824169,1370.4441794,3939.6839358,2598.8650549,3633.6536662,599.4801068,3413.3701183,1853.5695158
6640.4896461,5767.4281126,1776.0689651,2470.9182833,3111.2544234,11639.739211,5086.3590537,4467.7462929,2094.0400926,1032.7246171,1031.9446539,5562.0257163,711.0843791,1242.4390688,3927.555112,2520.2678396,3550.4968837,860.4461721,3461.5602467,1961.2570044
7111.8747783,5611.9100746,2437.9883115,2508.2590693,2778.671178,11172.0685765,4217.2687927,3841.9496582,2226.9332914,1532.7468436,988.4082618,6807.2516185,892.2900678,1382.5742178,3893.688142,2853.196408,3933.3199172,1006.3038818,3102.4146765,1411.2940964
6827.8257096,9504.84267,4503.6775622,2539.1493242,3246.0549461,12252.6131312,4405.2659453,2474.7317587,2461.2310967,2211.1094163,684.6369189,7903.8710618,2096.7921963,2891.7124138,5550.1542748,3706.9241064,3815.2831429,1000.6523127,3195.7842142,1999.5952655
6404.9920352,6032.5248872,2738.9893225,2325.2628477,3182.4639957,8556.3812608,3262.6108187,2406.9786868,2421.7140742,1601.2054433,843.7066734,4735.4407689,1232.337425,1814.8167389,4100.6518302,2308.934756,3217.1023699,1098.8115619,2816.7046844,1846.5321916
6615.7601335,5824.0364124,2597.074341,3618.0771257,3550.7220564,11348.9670231,6493.2431975,4786.7548654,2394.1832924,1173.7385401,1287.1040369,5815.4555289,879.0911113,976.1707142,4143.9040928,2381.5295529,3926.5137976,797.6716895,3733.359317,1749.3738045
7226.3764749,6521.765428,3036.1038506,2556.5700283,3654.7100698,11991.5508409,4357.7796769,3011.368126,2182.7575687,1664.3548311,1146.9908032,6731.2909587,1107.588413,1799.4383847,4190.439408,2510.4062253,3696.8019118,738.2546088,3861.2576743,2000.5126599
7589.0582523,8985.0478921,5347.3485696,2645.3023789,2530.0925019,14289.795606,3259.3485406,2372.9677404,2454.0078014,2841.8903076,881.3219876,7953.0030108,2027.1965726,2668.525957,4616.6697196,3146.4837924,3550.069562,886.7688204,2802.4228591,2179.9168731
6334.5271859,5586.26359,2468.4390207,2613.1923596,3022.6127843,9895.2403005,3810.4706952,2911.0530931,2112.3468784,1894.3733663,1133.9967772,6019.6864828,1190.7985049,1589.4159182,4580.5582663,2348.2007333,3075.9723876,648.429123,3338.4876468,1803.2189825
5996.7475196,5458.0921119,1839.5350605,3028.6057679,3138.2558479,11397.57768,6107.8510184,5008.2575939,2358.9654375,1339.3934694,1094.8032099,4885.0576293,843.7204299,1187.9482138,4245.5651397,2393.1097567,4703.0736927,878.7379402,3193.4933612,1600.4936397
6612.8461653,6451.381762,2790.800558,2592.1560951,2748.9808658,11109.9624851,3873.5707217,4253.4786365,1900.7791821,1636.6452765,1223.9517102,6203.7787835,942.9980216,1604.5466331,3915.378095,2547.9275124,3663.2871714,1516.986494,3218.3147998,2003.3628621
7758.2674934,8562.4033888,5079.241473,2641.145989,3113.5903744,12123.8981096,3699.6486118,2542.2598498,3101.5847668,2693.6061624,1161.327085,7413.7828275,2269.0907213,3003.0459446,5466.2240017,3179.6094893,3866.3428069,972.7235791,4061.2923694,2751.4103786
6778.8356463,5769.0524682,2218.5871578,2277.1375542,3441.8461929,9349.8661243,3579.116281,3364.8520899,2140.5193901,1818.8771814,1067.879111,6145.8299721,1031.0606655,1484.4476199,4916.5123535,2733.4888266,3023.0775283,511.9394032,3268.0684291,1709.8061818
5854.4516077,5436.7937642,1974.1401055,3065.0549279,3361.8045901,12824.609108,6646.7322551,5086.9419829,2340.6598753,1138.6336537,1004.223647,5243.6633474,599.741833,1125.8214733,4012.4375454,2731.5464814,5013.0585449,806.2099682,3333.7400557,1737.1135161
6200.2138271,5997.55024,2447.3963381,2919.3186669,3927.4077527,11582.0874808,4212.6999987,2647.5894478,2475.9909884,1492.3496293,1050.1894629,5238.7215806,988.8178645,1612.6862853,3946.1566091,2766.8098393,4355.119639,820.7579837,3251.4255536,1495.824927
7163.8299153,8561.0844135,5113.6888234,3308.8726539,3760.0088364,13500.3660741,3735.9891957,2453.5288694,2659.087952,2353.6182538,971.5793443,8138.3764069,2316.205868,3177.649221,4927.9136899,2813.305752,3778.6031438,621.5285511,3758.5752791,2238.6302032
5082.2035794,5177.7180905,1848.1871164,2683.1265456,2866.9399567,9127.8899756,3601.7791954,2955.3242052,1571.8968179,1374.5514397,940.3906213,4760.8717415,698.8662581,1275.2137231,3820.6774485,2938.7450115,3217.9649636,715.4718081,2873.837178,1509.0096245
5673.5513547,5061.6275233,1741.6601929,2680.0404701,3101.6098392,11431.8199174,5066.490206,4153.6510059,1795.3915425,1084.3482602,1055.8621365,4973.5355044,645.2811928,1061.391452,3574.0852766,2818.1855918,3787.9992537,682.7107711,4155.5745605,1740.1454912
6089.9058008,5131.7934906,2348.0972056,1769.9479819,2832.2971413,10206.2294845,3882.8388331,4006.7417434,1955.0696319,1568.8788571,941.0504128,5368.762047,789.506934,1334.932521,3963.7146716,2761.6262655,3344.4041686,663.2314222,2599.0841125,1059.1812097
8525.915574,7948.298965,5067.586035,2452.970974,2986.350536,12222.344161,3613.018397,2866.898386,2357.490129,2654.3833,829.28106,8366.101452,2212.349947,2845.767969,4718.717923,2916.867391,3439.66828,671.019401,3578.451065,2232.595269
6569.684438,6220.572149,2359.089016,2177.67174,2849.45493,9169.504254,4190.852023,3220.89729,2346.290776,1558.551981,1114.019309,6326.707955,909.685449,1456.848671,4251.093394,2588.864394,3586.984645,771.67946,3837.716177,1894.519608
5771.059328,5720.923248,1799.049343,2776.814372,2925.707247,9679.279753,5250.045749,5123.943249,1627.112744,1001.420056,861.313838,4796.727981,514.02346,1166.798918,3766.511188,2651.867766,4351.379475,684.454555,3860.515761,1599.647463
6692.897342,5861.450471,2705.538984,1963.298024,2885.646047,11232.03051,4750.23123,3816.660325,2146.111749,1768.249212,885.756242,5831.785407,1073.973369,1312.705491,3941.025137,3209.47291,4044.414319,680.441312,3331.924298,1349.167665
8158.6575325,8492.9110516,4059.2279919,2490.4560947,3101.6742586,12033.1617852,5062.7711352,2772.7048891,2763.6482137,2569.3175443,771.905614,8054.0668869,2600.2859301,2932.5115804,5227.3165051,3204.8003765,4169.6921351,600.0638036,4612.3508249,2530.3908421
5710.0824346,5638.5429601,2422.2432441,2499.1545484,3334.822586,10433.6488507,4106.5546061,3184.0382414,2078.8172286,1330.2513529,1085.1969819,5494.1244118,965.4698836,1507.0241071,3811.6732035,3015.1241791,4248.148557,677.266265,4095.9139167,1591.9737817
5402.5429286,5206.9026449,1571.9162791,2554.7025813,2822.1557321,11253.4748995,5486.0125921,5806.7545053,2079.8653284,1138.3203803,928.4703968,5523.3424761,761.7754691,971.8586745,3269.5879289,2538.5655931,5315.5838864,1155.182361,3594.4151259,1540.7343499
6803.4937,6495.8672812,2123.5891187,2256.9786182,2665.5082138,10822.1469868,4209.0968718,3264.5779633,2209.4903115,1492.2582075,954.1559366,6455.2982218,1126.3850451,1424.8895204,3659.4172376,3027.298424,3856.4695037,775.4374813,3404.1251256,1865.3561381
7866.2692994,8859.705052,5057.9949978,2485.8709226,3282.4560455,13527.1438943,4714.5125325,2678.6997389,2525.823438,2786.3878174,800.2541523,8504.6053334,2354.5125412,3401.1043923,4678.6005946,3144.6011443,3689.4825565,661.0330859,3237.6731291,2578.3045082
5616.7038447,5169.6164927,2225.727241,1961.5350424,2944.4948212,8666.2277162,3887.7005296,2924.1867315,1899.4823258,1366.4625192,833.9414825,5446.6805953,785.1332321,1193.367518,3650.1838064,2393.8547779,3041.3864773,477.518155,2875.4924605,2136.0584577
5886.7639607,4677.3354324,1688.6075339,2429.2341715,2772.6931196,9967.4166051,5539.0606045,4375.5458332,1949.3524506,1016.7607158,919.1730508,5857.1312938,603.6331667,848.6968882,3677.605078,3013.2921225,4548.8599672,652.2018886,3836.4798084,1783.5714187
5506.298475,6063.1736447,2551.0461768,2567.8505883,2892.7270796,10624.9074287,3657.0362087,3212.0297516,2192.0292188,1771.156892,965.4733002,6313.262899,836.4067186,1592.9815808,3427.0306845,2623.8939216,2693.3222183,619.8460927,2911.5515509,1207.8040996
6787.2254196,8396.0698536,4642.8893396,2036.5386507,2631.521285,11258.6390717,3905.549348,1642.5976541,2313.2906937,2372.678002,773.3388472,7305.5828849,1946.1846702,2314.9251818,4112.5299253,2820.5755103,3065.6401756,691.2244921,3243.3087216,1988.4353402
5361.3172195,4701.3955331,2122.6352331,1992.1290531,2649.3920161,7933.4052538,4037.6314921,3033.6558693,1630.2197627,1532.7089,945.5687492,5422.9384086,939.3758637,1306.3156163,3821.4941376,2260.2473174,2649.5068472,469.6334416,3274.4855093,1682.333221
4699.3495426,4702.0307055,1260.8963537,2967.0964351,2860.4497357,10657.4852247,5998.0907715,5578.9341813,2119.2144224,972.4561535,1209.3744315,5589.3366667,776.4500296,1123.994631,3667.9441467,1797.4122532,3425.2737933,529.4804369,3705.9372242,1516.881909
6208.7840697,6590.312614,2394.690798,2272.5636849,2706.9879752,9670.8478343,4524.6470546,3071.7756017,2426.5989367,1538.4313319,916.3369066,6073.2246493,1040.3496263,1577.6392243,3522.4637652,2392.3103594,2350.3463585,573.1159729,2987.3594808,1444.9382049
7148.2622018,7674.9298901,4638.2318937,2170.5571101,2695.9454197,10336.8594374,4138.9835726,2416.570141,1921.6833721,2074.3046227,736.8271848,7624.8810534,2047.2121039,2760.9263709,4195.8040465,2632.2794906,2951.7808613,394.8897552,3837.5444788,2151.455388
4850.2174843,4886.1404891,1869.8049694,2141.0730501,3208.0419405,8177.6793834,4266.619065,3357.7681114,2244.1489192,1394.7380005,926.116951,5670.4023936,892.1434491,1405.5178538,3820.6106894,2255.6187091,2611.6532521,501.2423972,3570.3090761,1534.2433791
6029.4895211,5601.4507478,1585.7820635,3328.2496982,2828.1163775,10732.3917164,5775.0707999,5299.0373924,1543.29843,1027.2844439,1063.2779962,5582.4627485,775.5113437,875.6742151,3620.6310377,2017.1642653,4173.9777315,552.65747,3421.6091677,1625.4593029
6238.902535,5681.8853405,2287.8081107,2302.1432629,2621.6497601,10955.0475397,4073.3044046,2850.586114,2083.2256507,1447.941184,883.9368225,5614.280897,820.5859261,1658.060508,3790.2203275,2522.8625529,3071.0419743,406.3121915,2796.468832,1271.2642582
7597.4675006,8297.5316058,4553.495719,2222.2617583,2528.3720409,9049.7876471,1970.2613471,1717.2060671,2293.8171064,2622.378722,775.7580798,7534.0390908,2076.8116261,2699.2360432,4764.5294731,2454.0727322,3240.3937287,695.7113803,2923.030363,2048.3842783
5815.9295915,6003.6093396,2210.6994555,2087.4703124,3003.4454287,9887.5589982,4351.8496897,2863.2825709,1981.9774703,1877.7347596,885.2613462,5673.1314744,983.3752133,1549.7528348,4090.1067487,2317.5432312,2979.7810737,333.9399488,2511.9305328,1380.6448768
6183.2387666,5043.0165599,1971.8814369,3367.9050723,2932.6568968,10161.8153879,6318.0466405,5918.0922756,1786.0945116,1388.6470194,1131.011461,5721.2934123,699.2251689,998.3042154,4500.0347893,2278.0872077,3596.9949627,699.8773351,3848.0496923,1783.573041
5929.0301327,6141.6923945,1990.5918267,2167.2175206,2840.0028582,10347.0543127,4322.1516439,3232.7509847,1951.6519009,1494.1433565,885.5229364,5899.97092,1004.6922536,1477.0890471,3725.2548908,2968.6083857,3272.2376014,620.660689,3231.6596478,1259.9233441
7986.9310625,8230.6579564,4547.8329954,2096.2836495,2863.1534243,10951.4023935,4092.2538539,3147.0741641,2164.9436143,2588.1959087,1116.6904743,7900.4622508,2286.7597546,2584.140892,5129.3572547,3002.0788243,3654.5253908,532.9291574,3522.1719196,1948.4483195
5307.8709729,5215.3094043,2216.2563298,2321.9558624,3344.9713652,8251.7784478,5505.4380872,2718.8368038,1761.2945827,1526.3121216,872.6993865,5882.3337824,860.406707,1348.0316665,3991.418174,2142.6140365,3578.1851124,613.4872318,2928.1717257,1453.1308051
6054.1116938,5680.5821001,1463.5971793,2534.7282122,2833.9606021,10173.2886877,5964.2378694,4706.9951542,1943.2002044,1055.3197861,887.1992951,5897.5357197,583.1127889,1766.8744452,3605.8550548,2350.9394771,3466.4731113,815.5522024,3833.7861731,1779.2883332
6023.8968728,6818.5129932,2303.3887414,2424.8361161,3255.8814566,10906.5272803,4289.6776631,3434.604438,2133.9447602,1635.977608,1012.6321826,6771.695808,977.865008,1517.0148644,4670.3472668,2674.2642886,4108.3370055,696.0486348,3426.875204,1621.0434469
7028.4801217,7764.2699323,5027.7673373,2956.5868646,3443.1752167,12156.350614,4704.4362991,2545.2112893,2279.1295318,2232.8461128,1046.1503814,8361.8541513,2128.4049182,3066.4303239,4332.0113826,3419.5433398,3876.6691359,574.3520329,3569.7826917,2093.008732
5813.4500297,5272.6028288,2331.8583286,2238.8514081,2951.8076474,7891.8499383,4889.5084135,3334.6736043,1809.868428,1802.5202373,969.8515881,5855.0430495,996.515681,1594.6615495,3973.0049655,3157.5234904,3495.1681052,997.6553366,3040.3931456,1502.4552208
6322.8414263,5254.3575449,2027.8621661,2711.3736671,2830.8045768,9486.0966561,4826.0928952,5396.8002987,1632.1978038,1119.3468206,713.0095938,5580.4520644,760.372813,1013.1951127,3336.9196711,2707.8742097,4388.9336022,627.8791935,2872.4453674,1234.2353383
7101.6905301,6521.9791206,2769.2486992,2329.3020431,2602.0722877,10602.6013219,4437.9398146,3131.8446656,3302.6843771,1653.7781761,762.4615494,6504.1519158,1499.5756399,1657.1576914,4279.0824213,2715.4976412,3467.3038305,467.1651589,2707.7718157,1260.3400361
7897.3159874,8563.4743312,4209.3004592,2731.1911395,2581.9996133,11460.220795,5137.3688103,2676.9029209,2557.107553,2218.2737712,1048.2757201,9442.3146154,2965.1587184,3278.5985935,4909.3361361,3412.2052252,5630.4032183,764.8053358,3176.732374,2235.1585136
5997.4675568,6005.9107861,2400.4955828,2685.6321538,2868.704147,9786.0740077,5076.1261995,3550.3413148,2161.1208698,1423.5994616,1050.8401016,6608.252144,1560.4912546,1614.2637677,4812.9091839,2834.8589842,5270.4820685,537.6912351,3483.8159825,1965.4500477
6033.5328619,5846.8729335,1662.3378486,2896.2982354,2948.054131,10058.6381536,6825.9577958,5300.409968,1828.2115561,1153.6186015,1302.0321128,6270.7602737,668.7500326,895.3776847,4634.9782213,2538.6166969,5259.4199297,874.9615287,3698.0007725,1683.0199071
7103.3975236,5790.2886435,2831.3549748,2400.5822718,3754.8553579,10315.2962172,6098.1982009,3407.6647626,2308.5259777,1609.1248117,1325.0646137,7548.7388094,1115.7566096,1462.7816063,4919.987781,2363.5834435,5620.6029132,992.3311042,3490.8184675,1858.2373549
8725.1316209,7875.7250582,4811.7832296,2459.8219704,2718.8231247,11568.8238798,4276.9234892,2503.1410376,2639.2724573,3037.0889368,1164.5543756,9733.087335,2969.4934608,2809.8412345,4894.9076073,3527.5441456,5497.1293955,1288.6234082,4269.4513855,2574.9353336
6995.8746449,6021.249171,2766.1029166,2210.9626289,3445.1206746,9337.8208152,5509.0706781,3639.2172628,1748.3065327,1490.5277972,1164.9067673,6645.5387879,1092.7423473,1844.1019932,4507.0246966,3304.5286323,5219.8039466,773.6337445,3718.5754758,2010.5831637
6294.489763,5486.4287051,2097.5442689,3079.7256992,2877.6987027,10740.8057617,6155.2010691,6530.2972789,1911.1437617,996.5879552,1021.0520592,6545.2356918,811.2796938,1135.8061751,4569.014423,2922.2965662,6347.6132432,1088.080906,4419.0106969,1819.065986
6945.4763386,6818.1651733,2561.4404583,2630.8741812,3776.0766923,10300.9249521,4449.9712748,3637.881869,2383.1066773,1972.7532768,1251.283598,7724.1514174,1526.0333636,1831.1881525,4584.0003874,3640.982738,6174.6180051,1306.5454764,3809.9729347,2379.3675058
7373.7573472,9945.4150882,4789.1942037,2767.8529688,2871.3755134,11875.1986164,4498.2514889,3127.7800912,2874.4140865,2860.2671331,1113.6515436,9972.2745804,2495.1023163,3203.8931104,5762.5698992,4169.9899227,6738.5857132,1033.1225646,4288.4493581,2853.1008383
6792.2336825,6664.0993605,2320.2285337,2691.3646789,3928.4621831,9058.6980596,4867.572156,3658.8001925,2075.9672776,1680.253613,1464.6183216,7184.2413567,930.4271197,1249.3981281,4382.7051571,3262.9238284,5937.4790603,1243.2784688,3278.0230939,1917.0895507
6530.5680256,5978.4578276,1651.0912338,3269.5653975,3514.4310073,11236.1151958,6434.0196023,5359.851445,2121.6461157,1554.084728,1335.487584,6909.7283143,941.1217504,967.8755452,4285.9105748,2837.9977386,6065.8077892,1169.3276567,4290.9246766,2131.9023115
7878.2768422,7362.0449339,2713.210265,2739.3918013,3490.7209024,12057.7187158,6572.5843278,3302.7155416,2407.2327669,1705.1532089,925.0705044,8012.1609597,1352.0851737,1766.6326615,4955.1384063,3367.65926,5983.8700526,1345.3844157,4233.8375496,2015.2496139
